"configuration_guide","chapter","section","summary steps","Steps","Command or Action","Purpose"
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Enable and Enable Secret Passwords","1. enable
2. configure terminal
3. enable password password
4. enable secret password
5. end
6. enable
7. end","Step 6","enable
Example:
Router> enable","Enables privileged EXEC mode. Verify that your new enable or enable secret password works."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Enable and Enable Secret Passwords","1. enable
2. configure terminal
3. enable password password
4. enable secret password
5. end
6. enable
7. end","Step 7","end
Example:
Router(config)# end","(Optional) Returns to privileged EXEC mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Console Idle Privileged EXEC Timeout","1. enable
2. configure terminal
3. line console 0
4. exec-timeout minutes [ seconds ]
5. end
6. show running-config","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Console Idle Privileged EXEC Timeout","1. enable
2. configure terminal
3. line console 0
4. exec-timeout minutes [ seconds ]
5. end
6. show running-config","Step 2","configure terminal
Example:
Router# configure terminal","Enters global configuration mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Console Idle Privileged EXEC Timeout","1. enable
2. configure terminal
3. line console 0
4. exec-timeout minutes [ seconds ]
5. end
6. show running-config","Step 3","line console 0
Example:
Router(config)# line console 0","Configures the console line and starts the line configuration command collection mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Console Idle Privileged EXEC Timeout","1. enable
2. configure terminal
3. line console 0
4. exec-timeout minutes [ seconds ]
5. end
6. show running-config","Step 4","exec-timeout minutes [ seconds ]
Example:
Router(config-line)# exec-timeout 0 0","Sets the idle privileged EXEC timeout, which is the interval that the privileged EXEC command interpreter waits until user input is detected. The example shows how to specify no timeout. Setting the exec-timeout value to 0 will cause the router to never log out after it is logged in. This could have security implications if you leave the console without manually logging out using the disable command."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Console Idle Privileged EXEC Timeout","1. enable
2. configure terminal
3. line console 0
4. exec-timeout minutes [ seconds ]
5. end
6. show running-config","Step 5","end
Example:
Router(config)# end","Returns to privileged EXEC mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Console Idle Privileged EXEC Timeout","1. enable
2. configure terminal
3. line console 0
4. exec-timeout minutes [ seconds ]
5. end
6. show running-config","Step 6","show running-config
Example:
Router(config)# show running-config","Displays the running configuration file. Verify that you properly configured the idle privileged EXEC timeout."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 2","show ip interface brief
Example:
Router# show ip interface brief","Displays a brief status of the interfaces that are configured for IP. Learn which type of Ethernet interface is on your router."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 3","configure terminal
Example:
Router# configure terminal","Enters global configuration mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 4","interface { fastethernet | gigabitethernet } 0/ port
Example:
Router(config)# interface gigabitethernet 0/0/0","Specifies the Ethernet interface and enters interface configuration mode. Note For information on interface numbering, see Slots, Subslots (Bay), Ports, and Interfaces in Cisco 4000 Series ISRs, page 1-38 ."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 5","description string
Example:
Router(config-if)# description GE int to 2nd floor south wing","(Optional) Adds a description to an interface configuration. The description helps you remember what is attached to this interface. The description can be useful for troubleshooting."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 6","ip address ip-address mask
Example:
Router(config-if)# ip address 172.16.74.3 255.255.255.0","Sets a primary IP address for an interface."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 7","no shutdown
Example:
Router(config-if)# no shutdown","Enables an interface."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 8","end
Example:
Router(config)# end","Returns to privileged EXEC mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Gigabit Ethernet Interfaces","1. enable
2. show ip interface brief
3. configure terminal
4. interface { fastethernet | gigabitethernet } 0/ port
5. description string
6. ip address ip-address mask
7. no shutdown
8. end
9. show ip interface brief","Step 9","show ip interface brief
Example:
Router# show ip interface brief","Displays a brief status of the interfaces that are configured for IP. Verify that the Ethernet interfaces are up and configured correctly."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Gateway of Last Resort","1. enable
2. configure terminal
3. ip routing
4. ip route dest-prefix mask next-hop-ip-address [ admin-distance ] [ permanent ]
5. Do one of the following:
6. end
7. show ip route","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Gateway of Last Resort","1. enable
2. configure terminal
3. ip routing
4. ip route dest-prefix mask next-hop-ip-address [ admin-distance ] [ permanent ]
5. Do one of the following:
6. end
7. show ip route","Step 2","configure terminal
Example:
Router# configure terminal","Enters global configuration mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Gateway of Last Resort","1. enable
2. configure terminal
3. ip routing
4. ip route dest-prefix mask next-hop-ip-address [ admin-distance ] [ permanent ]
5. Do one of the following:
6. end
7. show ip route","Step 3","ip routing
Example:
Router(config)# ip routing","Enables IP routing."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Gateway of Last Resort","1. enable
2. configure terminal
3. ip routing
4. ip route dest-prefix mask next-hop-ip-address [ admin-distance ] [ permanent ]
5. Do one of the following:
6. end
7. show ip route","Step 4","ip route dest-prefix mask next-hop-ip-address [ admin-distance ] [ permanent ]
Example:
Router(config)# ip route 192.168.24.0 255.255.255.0 172.28.99.2","Establishes a static route."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Gateway of Last Resort","1. enable
2. configure terminal
3. ip routing
4. ip route dest-prefix mask next-hop-ip-address [ admin-distance ] [ permanent ]
5. Do one of the following:
6. end
7. show ip route","Step 5","Do one of the following: ip default-network network-number ip route dest-prefix mask next-hop-ip-address
Example:
Router(config)# ip default-network 192.168.24.0
Example:
Router(config)# ip route 0.0.0.0 0.0.0.0 172.28.99.1","Selects a network as a candidate route for computing the gateway of last resort. Creates a static route to network 0.0.0.0 0.0.0.0 for computing the gateway of last resort."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Gateway of Last Resort","1. enable
2. configure terminal
3. ip routing
4. ip route dest-prefix mask next-hop-ip-address [ admin-distance ] [ permanent ]
5. Do one of the following:
6. end
7. show ip route","Step 6","end
Example:
Router(config)# end","Returns to privileged EXEC mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Gateway of Last Resort","1. enable
2. configure terminal
3. ip routing
4. ip route dest-prefix mask next-hop-ip-address [ admin-distance ] [ permanent ]
5. Do one of the following:
6. end
7. show ip route","Step 7","show ip route
Example:
Router# show ip route","Displays the current routing table information. Verify that the gateway of last resort is set."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Virtual Terminal Lines for Remote Console Access","1. enable
2. configure terminal
3. line vty line-number [ ending-line-number ]
4. password password
5. login
6. end
7. show running-config
8. From another network device, attempt to open a Telnet session to the router.","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Virtual Terminal Lines for Remote Console Access","1. enable
2. configure terminal
3. line vty line-number [ ending-line-number ]
4. password password
5. login
6. end
7. show running-config
8. From another network device, attempt to open a Telnet session to the router.","Step 2","configure terminal
Example:
Router# configure terminal","Enters global configuration mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Virtual Terminal Lines for Remote Console Access","1. enable
2. configure terminal
3. line vty line-number [ ending-line-number ]
4. password password
5. login
6. end
7. show running-config
8. From another network device, attempt to open a Telnet session to the router.","Step 3","line vty line-number [ ending-line-number ]
Example:
Router(config)# line vty 0 4","Starts the line configuration command collection mode for the virtual terminal lines (vty) for remote console access. Make sure that you configure all vty lines on your router. Note To verify the number of vty lines on your router, use the line vty ? command."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Virtual Terminal Lines for Remote Console Access","1. enable
2. configure terminal
3. line vty line-number [ ending-line-number ]
4. password password
5. login
6. end
7. show running-config
8. From another network device, attempt to open a Telnet session to the router.","Step 4","password password
Example:
Router(config-line)# password guessagain","Specifies a password on a line."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Virtual Terminal Lines for Remote Console Access","1. enable
2. configure terminal
3. line vty line-number [ ending-line-number ]
4. password password
5. login
6. end
7. show running-config
8. From another network device, attempt to open a Telnet session to the router.","Step 5","login
Example:
Router(config-line)# login","Enables password checking at login."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Virtual Terminal Lines for Remote Console Access","1. enable
2. configure terminal
3. line vty line-number [ ending-line-number ]
4. password password
5. login
6. end
7. show running-config
8. From another network device, attempt to open a Telnet session to the router.","Step 6","end
Example:
Router(config-line)# end","Returns to privileged EXEC mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Virtual Terminal Lines for Remote Console Access","1. enable
2. configure terminal
3. line vty line-number [ ending-line-number ]
4. password password
5. login
6. end
7. show running-config
8. From another network device, attempt to open a Telnet session to the router.","Step 7","show running-config
Example:
Router# show running-config","Displays the running configuration file. Verify that you bave properly configured the virtual terminal lines for remote access."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure Virtual Terminal Lines for Remote Console Access","1. enable
2. configure terminal
3. line vty line-number [ ending-line-number ]
4. password password
5. login
6. end
7. show running-config
8. From another network device, attempt to open a Telnet session to the router.","Step 8","From another network device, attempt to open a Telnet session to the router.
Example:
Router# 172.16.74.3
Example:
Password:","Verifies that you can remotely access the router and that the virtual terminal line password is correctly configured."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure the Auxiliary Line","1. enable
2. configure terminal
3. line aux 0
4. See the Technical Specifications Note and sample configurations to configure the line for your particular implementation of the AUX port.","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure the Auxiliary Line","1. enable
2. configure terminal
3. line aux 0
4. See the Technical Specifications Note and sample configurations to configure the line for your particular implementation of the AUX port.","Step 2","configure terminal
Example:
Router# configure terminal","Enters global configuration mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure the Auxiliary Line","1. enable
2. configure terminal
3. line aux 0
4. See the Technical Specifications Note and sample configurations to configure the line for your particular implementation of the AUX port.","Step 3","line aux 0
Example:
Router(config)# line aux 0","Starts the line configuration command collection mode for the auxiliary line."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Gigabit Ethernet Management Interface Overview - Configure the Auxiliary Line","1. enable
2. configure terminal
3. line aux 0
4. See the Technical Specifications Note and sample configurations to configure the line for your particular implementation of the AUX port.","Step 4","See the Technical Specifications Note and sample configurations to configure the line for your particular implementation of
the AUX port.","—"
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Verify Network Connectivity","1. enable
2. ping [ ip-address | hostname ]
3. telnet { ip-address | hostname }","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Verify Network Connectivity","1. enable
2. ping [ ip-address | hostname ]
3. telnet { ip-address | hostname }","Step 2","ping [ ip-address | hostname ]
Example:
Router# ping 172.16.74.5","Diagnoses initial network connectivity. To verify connectivity, ping the next hop router or connected host for each configured interface to."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Verify Network Connectivity","1. enable
2. ping [ ip-address | hostname ]
3. telnet { ip-address | hostname }","Step 3","telnet { ip-address | hostname }
Example:
Router# telnet 10.20.30.40","Logs in to a host that supports Telnet. If you want to test the vty line password, perform this step from a different network device, and use your router’s IP address."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Save Your Device Configuration","1. enable
2. copy running-config startup-config","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Save Your Device Configuration","1. enable
2. copy running-config startup-config","Step 2","copy running-config startup-config
Example:
Router# copy running-config startup-config","Saves the running configuration to the startup configuration."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Save Backup Copies of Configuration and System Image","1. enable
2. copy nvram:startup-config { ftp: | rcp: | tftp: }
3. show {bootflash0|bootflash1}:
4. copy {bootflash0|bootflash1}: { ftp: | rcp: | tftp: }","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Save Backup Copies of Configuration and System Image","1. enable
2. copy nvram:startup-config { ftp: | rcp: | tftp: }
3. show {bootflash0|bootflash1}:
4. copy {bootflash0|bootflash1}: { ftp: | rcp: | tftp: }","Step 2","copy nvram:startup-config { ftp: | rcp: | tftp: }
Example:
Router# copy nvram:startup-config ftp:","Copies the startup configuration file to a server. The configuration file copy can serve as a backup copy.Enter the destination URL when prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Save Backup Copies of Configuration and System Image","1. enable
2. copy nvram:startup-config { ftp: | rcp: | tftp: }
3. show {bootflash0|bootflash1}:
4. copy {bootflash0|bootflash1}: { ftp: | rcp: | tftp: }","Step 3","show {bootflash0|bootflash1}:
Example:
Router# show {bootflash0|bootflash1} :","Displays the layout and contents of a flash memory file system. Learn the name of the system image file."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Save Backup Copies of Configuration and System Image","1. enable
2. copy nvram:startup-config { ftp: | rcp: | tftp: }
3. show {bootflash0|bootflash1}:
4. copy {bootflash0|bootflash1}: { ftp: | rcp: | tftp: }","Step 4","copy {bootflash0|bootflash1}: { ftp: | rcp: | tftp: }
Example:
Router# copy {bootflash0|bootflash1}: ftp :","Copies a file from flash memory to a server. Copy the system image file to a server to serve as a backup copy. Enter the filename and destination URL when prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Global Parameters","1. configure terminal
2. hostname name
3. enable secret password
4. no ip domain-lookup","Step 1","configure terminal
Example:
Router> enable
Router# configure terminal Router(config)#","Enters global configuration mode when using the console port. Use the following to connect to the router with a remote terminal: telnet router-name or address Login: login-id Password: ********* Router> enable"
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Global Parameters","1. configure terminal
2. hostname name
3. enable secret password
4. no ip domain-lookup","Step 2","hostname name
Example:
Router(config)# hostname Router","Specifies the name for the router."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Global Parameters","1. configure terminal
2. hostname name
3. enable secret password
4. no ip domain-lookup","Step 3","enable secret password
Example:
Router(config)# enable secret cr1ny5ho","Specifies an encrypted password to prevent unauthorized access to the router."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Global Parameters","1. configure terminal
2. hostname name
3. enable secret password
4. no ip domain-lookup","Step 4","no ip domain-lookup
Example:
Router(config)# no ip domain-lookup","Disables the router from translating unfamiliar words (typos) into IP addresses. For complete information on global parameter commands, see the Cisco IOS Release Configuration Guide documentation set."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Gigabit Ethernet Interfaces","1. interface gigabitethernet slot/bay/port
2. ip address ip-address mask
3. ipv6 address ipv6-address/prefix
4. no shutdown
5. exit","Step 1","interface gigabitethernet slot/bay/port
Example:
Router(config)# interface gigabitethernet 0/0/1","Enters the configuration mode for a Gigabit Ethernet interface on the router."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Gigabit Ethernet Interfaces","1. interface gigabitethernet slot/bay/port
2. ip address ip-address mask
3. ipv6 address ipv6-address/prefix
4. no shutdown
5. exit","Step 2","ip address ip-address mask
Example:
Router(config-if)# ip address 192.168.12.2 255.255.255.0","Sets the IP address and subnet mask for the specified Gigabit Ethernet interface. Use this Step if you are configuring an IPv4 address."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Gigabit Ethernet Interfaces","1. interface gigabitethernet slot/bay/port
2. ip address ip-address mask
3. ipv6 address ipv6-address/prefix
4. no shutdown
5. exit","Step 3","ipv6 address ipv6-address/prefix
Example:
Router(config-if)# ipv6 address 2001.db8::ffff:1/128","Sets the IPv6 address and prefix for the specified Gigabit Ethernet interface. Use this step instead of Step 2, if you are configuring an IPv6 address."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Gigabit Ethernet Interfaces","1. interface gigabitethernet slot/bay/port
2. ip address ip-address mask
3. ipv6 address ipv6-address/prefix
4. no shutdown
5. exit","Step 4","no shutdown
Example:
Router(config-if)# no shutdown","Enables the Gigabit Ethernet interface and changes its state from administratively down to administratively up."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Basic Router Configuration","Configuring Gigabit Ethernet Interfaces","1. interface gigabitethernet slot/bay/port
2. ip address ip-address mask
3. ipv6 address ipv6-address/prefix
4. no shutdown
5. exit","Step 5","exit
Example:
Router(config-if)# exit","Exits configuration mode for the Gigabit Ethernet interface and returns to privileged EXEC mode."
