"configuration_guide","chapter","section","summary steps","Steps","Command or Action","Purpose"
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Adding a Description for an Interface - Procedure","","Step 5","end
Example:
Device(config-if)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Adding a Description for an Interface - Procedure","","Step 6","show interfaces interface-id description","Verifies your entry."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Adding a Description for an Interface - Procedure","","Step 7","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Range of Interfaces - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Range of Interfaces - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Range of Interfaces - Procedure","","Step 3","interface range { port-range | macro macro_name }
Example:
Device(config)# interface range macro","Specifies the range of interfaces (VLANs or physical ports) to be configured, and enter interface-range configuration mode. You can use the interface range command to configure up to five port ranges or a previously defined macro. The macro variable is explained in Configuring and Using Interface Range Macros . In a comma-separated port-range , you must enter the interface type for each entry and enter spaces before and after the comma. In a hyphen-separated port-range , you do not need to re-enter the interface type, but you must enter a space before the hyphen. Note Use the normal configuration commands to apply the configuration parameters to all interfaces in the range. Each command is executed as it is entered."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Range of Interfaces - Procedure","","Step 4","end
Example:
Device(config)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Range of Interfaces - Procedure","","Step 5","show interfaces [ interface-id ]
Example:
Device# show interfaces","Verifies the configuration of the interfaces in the range."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Range of Interfaces - Procedure","","Step 6","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring and Using Interface Range Macros - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring and Using Interface Range Macros - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring and Using Interface Range Macros - Procedure","","Step 3","define interface-range macro_name interface-range
Example:
Device(config)# define interface-range enet_list gigabitethernet1/0/1 - 2","Defines the interface-range macro, and saves it in NVRAM. The macro_name is a 32-character maximum character string. A macro can contain up to five comma-separated interface ranges. Each interface-range must consist of the same port type. Note Before you can use the macro keyword in the interface range macro global configuration command string, you must use the define interface-range global configuration command to define the macro."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring and Using Interface Range Macros - Procedure","","Step 4","interface range macro macro_name
Example:
Device(config)# interface range macro enet_list","Selects the interface range to be configured using the values saved in the interface-range macro called macro_name . You can now use the normal configuration commands to apply the configuration to all interfaces in the defined macro."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring and Using Interface Range Macros - Procedure","","Step 5","end
Example:
Device(config)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring and Using Interface Range Macros - Procedure","","Step 6","show running-config | include define
Example:
Device# show running-config | include define","Shows the defined interface range macro configuration."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring and Using Interface Range Macros - Procedure","","Step 7","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Setting the Interface Speed and Duplex Parameters - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Setting the Interface Speed and Duplex Parameters - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Setting the Interface Speed and Duplex Parameters - Procedure","","Step 3","interface interface-id
Example:
Device(config)# interface gigabitethernet1/0/3","Specifies the physical interface to be configured, and enters interface configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Setting the Interface Speed and Duplex Parameters - Procedure","","Step 4","speed { 10 | 100 | 1000 | 2500 | 5000 | 10000 | auto [ 10 | 100 | 1000 | 2500 | 5000 | 10000 ] | nonegotiate }
Example:
Device(config-if)# speed 10","Enters the appropriate speed parameter for the interface: Enter 10 , 100 , 1000 , 2500 , 5000 , or 10000 to set a specific speed for the interface. Note Cisco Catalyst 9300L Series Switches support only 10 Mb/s, 100 Mb/s, 1000 Mb/s, 10000 Mb/s, and auto speed options. Enter auto to enable the interface to autonegotiate speed with the connected device. If you specify a speed and also set the auto keyword, the port autonegotiates only at the specified speeds. The nonegotiate keyword is available only for SFP module ports. SFP module ports operate only at 1000 Mb/s but can be configured to not negotiate if connected to a device that does not support autonegotiation."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Setting the Interface Speed and Duplex Parameters - Procedure","","Step 5","duplex { auto | full | half }
Example:
Device(config-if)# duplex half","Enters the duplex parameter for the interface. Enables half-duplex mode (for interfaces operating only at 10 or 100 Mb/s). Half duplex is not supported on multi-Gigabit Ethernet ports configured for speed of 1000 Mb/s. You can configure the duplex setting when the speed is set to auto ."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Setting the Interface Speed and Duplex Parameters - Procedure","","Step 6","end
Example:
Device(config-if)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Setting the Interface Speed and Duplex Parameters - Procedure","","Step 7","show interfaces interface-id
Example:
Device# show interfaces gigabitethernet1/0/3","Displays the interface speed and duplex mode configuration."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Setting the Interface Speed and Duplex Parameters - Procedure","","Step 8","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring Forty Gigabit Ethernet Interface - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring Forty Gigabit Ethernet Interface - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring Forty Gigabit Ethernet Interface - Procedure","","Step 3","interface interface-id
Example:
Device(config)# interface fortygigabitethernet1/0/9 Device(config-if)#","Specifies the interface type,that has to be configured."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring Forty Gigabit Ethernet Interface - Procedure","","Step 4","end
Example:
Device(config)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the IEEE 802.3x Flow Control - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the IEEE 802.3x Flow Control - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode"
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the IEEE 802.3x Flow Control - Procedure","","Step 3","interface interface-id
Example:
Device(config)# interface gigabitethernet1/0/1","Specifies the physical interface to be configured, and enters interface configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the IEEE 802.3x Flow Control - Procedure","","Step 4","flowcontrol { receive } { on | off | desired }
Example:
Device(config-if)# flowcontrol receive on","Configures the flow control mode for the port."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the IEEE 802.3x Flow Control - Procedure","","Step 5","end
Example:
Device(config-if)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the IEEE 802.3x Flow Control - Procedure","","Step 6","show flowcontrol interface interface-id
Example:
Device# show flowcontrol interface GigabitEthernet1/0/1","Verifies the specified interface flow control settings."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the IEEE 802.3x Flow Control - Procedure","","Step 7","show flowcontrol module slot
Example:
Device# show flowcontrol module 1","Verifies the interface flow control settings on the module."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the IEEE 802.3x Flow Control - Procedure","","Step 8","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 3","interface { gigabitethernet interface-id } | { vlan vlan-id } | { port-channel port-channel-number }
Example:
Device(config)# interface gigabitethernet1/0/2","Specifies the interface to be configured as a Layer 3 interface, and enters interface configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 4","no switchport
Example:
Device(config-if)# no switchport","(For physical ports only) Enters Layer 3 mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 5","ip address ip_address subnet_mask
Example:
Device(config-if)# ip address 192.20.135.21 255.255.255.0","Configures the IP address and IP subnet."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 6","no shutdown
Example:
Device(config-if)# no shutdown","Enables the interface."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 7","end
Example:
Device(config-if)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 8","show interfaces [ interface-id ]","Verifies the configuration."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Layer 3 Interface - Procedure","","Step 9","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Logical Layer 3 GRE Tunnel Interface - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Logical Layer 3 GRE Tunnel Interface - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Logical Layer 3 GRE Tunnel Interface - Procedure","","Step 3","interface tunnel number
Example:
Device(config)# interface tunnel 2","Enables tunneling on the interface."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Logical Layer 3 GRE Tunnel Interface - Procedure","","Step 4","ip address ip_address subnet_mask
Example:
Device(config)# ip address 100.1.1.1 255.255.255.0","Configures the IP address and IP subnet."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Logical Layer 3 GRE Tunnel Interface - Procedure","","Step 5","tunnel source { ip_address | type_number }
Example:
Device(config)# tunnel source 10.10.10.1","Configures the tunnel source."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Logical Layer 3 GRE Tunnel Interface - Procedure","","Step 6","tunnel destination { host_name | ip_address }
Example:
Device(config)# tunnel destination 10.10.10.2","Configures the tunnel destination."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Logical Layer 3 GRE Tunnel Interface - Procedure","","Step 7","tunnel mode gre ip
Example:
Device(config)# tunnel mode gre ip","Configures the tunnel mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring a Logical Layer 3 GRE Tunnel Interface - Procedure","","Step 8","end
Example:
Device(config)# end","Exits configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring SVI Autostate Exclude - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring SVI Autostate Exclude - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring SVI Autostate Exclude - Procedure","","Step 3","interface interface-id
Example:
Device(config)# interface gigabitethernet1/0/2","Specifies a Layer 2 interface (physical port or port channel), and enters interface configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring SVI Autostate Exclude - Procedure","","Step 4","switchport autostate exclude
Example:
Device(config-if)# switchport autostate exclude","Excludes the access or trunk port when defining the status of an SVI line state (up or down)"
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring SVI Autostate Exclude - Procedure","","Step 5","end
Example:
Device(config-if)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring SVI Autostate Exclude - Procedure","","Step 6","show running config interface interface-id
Example:
Device# show running config interface gigabitethernet1/0/2","(Optional) Shows the running configuration. Verifies the configuration."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring SVI Autostate Exclude - Procedure","","Step 7","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Shutting Down and Restarting an Interface - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Shutting Down and Restarting an Interface - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Shutting Down and Restarting an Interface - Procedure","","Step 3","interface { vlan vlan-id } | { gigabitethernet interface-id } | { port-channel port-channel-number }
Example:
Device(config)# interface gigabitethernet1/0/2","Selects the interface to be configured."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Shutting Down and Restarting an Interface - Procedure","","Step 4","shutdown
Example:
Device(config-if)# shutdown","Shuts down an interface."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Shutting Down and Restarting an Interface - Procedure","","Step 5","no shutdown
Example:
Device(config-if)# no shutdown","Restarts an interface."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Shutting Down and Restarting an Interface - Procedure","","Step 6","end
Example:
Device(config-if)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Shutting Down and Restarting an Interface - Procedure","","Step 7","show running-config
Example:
Device# show running-config","Verifies your entries."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the Console Media Type - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the Console Media Type - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the Console Media Type - Procedure","","Step 3","line console 0
Example:
Device(config)# line console 0","Configures the console and enters line configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the Console Media Type - Procedure","","Step 4","media-type rj45 switch switch_number
Example:
Device(config-line)# media-type rj45 switch 1","Configures the console media type to be only RJ-45 port. If you do not enter this command and both types are connected, the USB port is used by default."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the Console Media Type - Procedure","","Step 5","end
Example:
Device(config)# end","Returns to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring the Console Media Type - Procedure","","Step 6","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring USB Inactivity Timeout - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring USB Inactivity Timeout - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring USB Inactivity Timeout - Procedure","","Step 3","line console 0
Example:
Device(config)# line console 0","Configures the console and enters line configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring USB Inactivity Timeout - Procedure","","Step 4","usb-inactivity-timeout switch switch_number timeout-minutes
Example:
Device(config-line)# usb-inactivity-timeout switch 1 30","Specifies an inactivity timeout for the console port. The range is 1 to 240 minutes. The default is to have no timeout configured."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring USB Inactivity Timeout - Procedure","","Step 5","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Disabling USB Ports - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Disabling USB Ports - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Disabling USB Ports - Procedure","","Step 3","[ no ] platform usb disable
Example:
Device(config)# platform usb disable","Disables all the USB ports on the device. Use the no platform usb disable command to reenable the USB ports."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Disabling USB Ports - Procedure","","Step 4","exit
Example:
Device(config)# exit","Exits to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Disabling USB Ports - Procedure","","Step 5","copy running-config startup-config
Example:
Device# copy running-config startup-config","(Optional) Saves your entries in the configuration file."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Auto-MDIX","Configuring Auto-MDIX on an Interface - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Auto-MDIX","Configuring Auto-MDIX on an Interface - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode"
