entry,requirement,ground_truth
12,Configure a static default route on R4 pointing to R1.,"R4# configure terminal
R4(config)# ip route 0.0.0.0 0.0.0.0 10.0.14.1
R4(config)# end"
13,Configure a static route on R2 to reach the 10.0.1.0/24 network via R1.,"R2# configure terminal
R2(config)# ip route 10.0.1.0 255.255.255.0 10.0.12.1
R2(config)# end"
14,Enable OSPF process 2 on R2 and advertise all its directly connected networks in area 0.,"R2# configure terminal
R2(config)# router ospf 2
R2(config-router)# network 10.0.12.0 0.0.0.255 area 0
R2(config-router)# network 10.0.23.0 0.0.0.255 area 0
R2(config-router)# network 10.0.24.0 0.0.0.255 area 0
R2(config-router)# end"
15,Set the OSPF router ID on R3 to 3.3.3.3.,"R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# router-id 3.3.3.3
R3(config-router)# end"
16,Set the OSPF cost to 50 on R2's interface that connects to R4.,"R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# ip ospf cost 50
R2(config-if)# end"
17,Configure OSPF process 1 on R4 and set the interface connecting to R3 as passive.,"R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# passive-interface Ethernet0/2
R4(config-router)# end"
18,Remove the static default route on R4 pointing to R1.,"R4# configure terminal
R4(config)# no ip route 0.0.0.0 0.0.0.0 10.0.14.1
R4(config)# end"
19,Configure the OSPF hello interval to 10 seconds on R3's interface that connects to R4.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# ip ospf hello-interval 10
R3(config-if)# end"
20,Configure OSPF authentication on R1's interface connecting to R4 using password netpass.,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# ip ospf authentication
R1(config-if)# ip ospf authentication-key netpass
R1(config-if)# end"
21,Configure an extended ACL on R1 to deny TCP traffic from 10.0.1.0/24 to any destination on port 23.,"R1# configure terminal
R1(config)# ip access-list extended DENY_TELNET
R1(config-ext-nacl)# deny tcp 10.0.1.0 0.0.0.255 any eq 23
R1(config-ext-nacl)# permit ip any any
R1(config-ext-nacl)# end"
22,"Configure an extended ACL named DENY_TELNET on R1 to deny TCP traffic from 10.0.1.0/24 to any on port 23, permit all other traffic, and apply it inbound on R1's interface connected to SW1.","R1# configure terminal
R1(config)# ip access-list extended DENY_TELNET
R1(config-ext-nacl)# deny tcp 10.0.1.0 0.0.0.255 any eq 23
R1(config-ext-nacl)# permit ip any any
R1(config-ext-nacl)# exit
R1(config)# interface Ethernet0/0
R1(config-if)# ip access-group DENY_TELNET in
R1(config-if)# end"
23,Configure a standard ACL on R3 to permit traffic only from the 10.0.2.0/24 network.,"R3# configure terminal
R3(config)# ip access-list standard PERMIT_LAN2
R3(config-std-nacl)# permit 10.0.2.0 0.0.0.255
R3(config-std-nacl)# end"
24,Configure an extended ACL on R4 to deny ICMP traffic from any source to 10.0.14.0/24.,"R4# configure terminal
R4(config)# ip access-list extended DENY_ICMP_R4
R4(config-ext-nacl)# deny icmp any 10.0.14.0 0.0.0.255
R4(config-ext-nacl)# permit ip any any
R4(config-ext-nacl)# end"
25,Enable SSH version 2 on R3 with domain name lab.local and generate RSA keys of 1024 bits.,"R3# configure terminal
R3(config)# ip domain-name lab.local
R3(config)# crypto key generate rsa modulus 1024
R3(config)# ip ssh version 2
R3(config)# end"
26,Configure a VTY password on R4 for remote access.,"R4# configure terminal
R4(config)# line vty 0 4
R4(config-line)# password cisco123
R4(config-line)# login
R4(config-line)# end"
27,Configure an enable secret password on R1.,"R1# configure terminal
R1(config)# enable secret strongpass
R1(config)# end"
28,Configure a console password on R2.,"R2# configure terminal
R2(config)# line console 0
R2(config-line)# password consolepass
R2(config-line)# login
R2(config-line)# end"
29,Enable AAA new-model on R3.,"R3# configure terminal
R3(config)# aaa new-model
R3(config)# end"
30,Configure SNMP community string 'private' read-write on R1.,"R1# configure terminal
R1(config)# snmp-server community private rw
R1(config)# end"
31,Create VLAN 20 on SW2.,"SW2# configure terminal
SW2(config)# vlan 20
SW2(config-vlan)# end"
32,Configure PortFast and BPDU Guard on SW1's port connected to h1.,"SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# spanning-tree portfast
SW1(config-if)# spanning-tree bpduguard enable
SW1(config-if)# end"
33,Set SW2 as the STP root bridge for VLAN 40.,"SW2# configure terminal
SW2(config)# spanning-tree vlan 40 root primary
SW2(config)# end"
34,Set the native VLAN to 20 on SW1's trunk port.,"SW1# configure terminal
SW1(config)# interface Fa0/24
SW1(config-if)# switchport trunk native vlan 20
SW1(config-if)# end"
35,Configure a VLAN interface (SVI) on SW2 for VLAN 40 with IP address 10.0.4.1/24.,"SW2# configure terminal
SW2(config)# interface vlan 40
SW2(config-if)# ip address 10.0.4.1 255.255.255.0
SW2(config-if)# no shutdown
SW2(config-if)# end"
36,Enable storm control for broadcasts on SW2's port connected to h2 at 10% threshold.,"SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# storm-control broadcast level 10
SW2(config-if)# end"
37,"Configure the trunk port on SW1 to allow only VLAN 10 and VLAN 20, and add VLAN 20 to SW1.","SW1# configure terminal
SW1(config)# vlan 20
SW1(config-vlan)# exit
SW1(config)# interface Fa0/24
SW1(config-if)# switchport trunk allowed vlan 10,20
SW1(config-if)# end"
38,Configure port security on SW2's port connected to h2 to allow a maximum of 2 MAC addresses.,"SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# switchport port-security
SW2(config-if)# switchport port-security maximum 2
SW2(config-if)# switchport port-security violation restrict
SW2(config-if)# end"
39,Configure a DHCP pool on R4 for the 10.0.14.0/24 network.,"R4# configure terminal
R4(config)# ip dhcp pool LAN14
R4(dhcp-config)# network 10.0.14.0 255.255.255.0
R4(dhcp-config)# default-router 10.0.14.2
R4(dhcp-config)# end"
40,Exclude the first 5 addresses of the 10.0.2.0/24 network from the DHCP pool on R3.,"R3# configure terminal
R3(config)# ip dhcp excluded-address 10.0.2.1 10.0.2.5
R3(config)# end"
41,Configure NTP server 10.0.23.2 on R3.,"R3# configure terminal
R3(config)# ntp server 10.0.23.2
R3(config)# end"
42,Set the logging level to informational on R2.,"R2# configure terminal
R2(config)# logging trap informational
R2(config)# end"
43,Enable CDP on R4's interface that connects to R3.,"R4# configure terminal
R4(config)# interface Ethernet0/2
R4(config-if)# cdp enable
R4(config-if)# end"
44,Set the hostname of R3 to Edge-R3.,"R3# configure terminal
R3(config)# hostname Edge-R3
R3(config)# end"
45,Save the running configuration to startup configuration on R4.,R4# copy running-config startup-config
46,"Enable OSPF process 1 on R1, R2, R3, and R4, advertising all directly connected networks in area 0.","R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# network 10.0.1.0 0.0.0.255 area 0
R1(config-router)# network 10.0.12.0 0.0.0.255 area 0
R1(config-router)# network 10.0.14.0 0.0.0.255 area 0
R1(config-router)# end

R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# network 10.0.12.0 0.0.0.255 area 0
R2(config-router)# network 10.0.23.0 0.0.0.255 area 0
R2(config-router)# network 10.0.24.0 0.0.0.255 area 0
R2(config-router)# end

R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# network 10.0.23.0 0.0.0.255 area 0
R3(config-router)# network 10.0.34.0 0.0.0.255 area 0
R3(config-router)# network 10.0.2.0 0.0.0.255 area 0
R3(config-router)# end

R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# network 10.0.14.0 0.0.0.255 area 0
R4(config-router)# network 10.0.24.0 0.0.0.255 area 0
R4(config-router)# network 10.0.34.0 0.0.0.255 area 0
R4(config-router)# end"
47,Configure OSPF authentication on the link between R1 and R2 using password ospfkey.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ip ospf authentication
R1(config-if)# ip ospf authentication-key ospfkey
R1(config-if)# end

R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# ip ospf authentication
R2(config-if)# ip ospf authentication-key ospfkey
R2(config-if)# end"
48,Set the OSPF hello interval to 5 seconds and dead interval to 20 seconds on the link between R3 and R4.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# ip ospf hello-interval 5
R3(config-if)# ip ospf dead-interval 20
R3(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/2
R4(config-if)# ip ospf hello-interval 5
R4(config-if)# ip ospf dead-interval 20
R4(config-if)# end"
49,"Configure loopback 0 interfaces on R1, R2, R3, and R4 as OSPF router IDs.","R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# router-id 1.1.1.1
R1(config-router)# end

R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# router-id 2.2.2.2
R2(config-router)# end

R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# router-id 3.3.3.3
R3(config-router)# end

R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# router-id 4.4.4.4
R4(config-router)# end"
50,Set the OSPF cost to 200 on both ends of the link between R2 and R4.,"R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# ip ospf cost 200
R2(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/1
R4(config-if)# ip ospf cost 200
R4(config-if)# end"
51,Configure passive interfaces on R1 and R3 for their interfaces connected to SW1 and SW2 respectively in OSPF process 1.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# passive-interface Ethernet0/0
R1(config-router)# end

R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# passive-interface Ethernet0/2
R3(config-router)# end"
52,Remove OSPF process 1 from R2 and R4.,"R2# configure terminal
R2(config)# no router ospf 1
R2(config)# end

R4# configure terminal
R4(config)# no router ospf 1
R4(config)# end"
53,Configure static routes on R1 and R3 so that h1 and h2 can reach each other via R2.,"R1# configure terminal
R1(config)# ip route 10.0.2.0 255.255.255.0 10.0.12.2
R1(config)# end

R3# configure terminal
R3(config)# ip route 10.0.1.0 255.255.255.0 10.0.23.1
R3(config)# end"
54,Configure static default routes on R2 and R4 pointing to R1.,"R2# configure terminal
R2(config)# ip route 0.0.0.0 0.0.0.0 10.0.12.1
R2(config)# end

R4# configure terminal
R4(config)# ip route 0.0.0.0 0.0.0.0 10.0.14.1
R4(config)# end"
55,Configure static routes on R2 and R3 to reach the 10.0.14.0/24 network via R4.,"R2# configure terminal
R2(config)# ip route 10.0.14.0 255.255.255.0 10.0.24.2
R2(config)# end

R3# configure terminal
R3(config)# ip route 10.0.14.0 255.255.255.0 10.0.34.2
R3(config)# end"
56,Configure static routes on R1 and R4 to reach the 10.0.23.0/24 network via R2.,"R1# configure terminal
R1(config)# ip route 10.0.23.0 255.255.255.0 10.0.12.2
R1(config)# end

R4# configure terminal
R4(config)# ip route 10.0.23.0 255.255.255.0 10.0.24.1
R4(config)# end"
57,Remove the static routes to 10.0.1.0/24 from R3 and R4.,"R3# configure terminal
R3(config)# no ip route 10.0.1.0 255.255.255.0 10.0.23.1
R3(config)# end

R4# configure terminal
R4(config)# no ip route 10.0.1.0 255.255.255.0 10.0.14.1
R4(config)# end"
58,"Configure a static route on R1 to reach 10.0.34.0/24 via R4, and on R2 to reach the same network via R4.","R1# configure terminal
R1(config)# ip route 10.0.34.0 255.255.255.0 10.0.14.2
R1(config)# end

R2# configure terminal
R2(config)# ip route 10.0.34.0 255.255.255.0 10.0.24.2
R2(config)# end"
59,Configure NAT on R1: set Ethernet0/0 as inside and Ethernet0/1 as outside.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# ip nat inside
R1(config-if)# interface Ethernet0/1
R1(config-if)# ip nat outside
R1(config-if)# end"
60,Configure NAT on R3: set Ethernet0/2 as inside and Ethernet0/0 as outside.,"R3# configure terminal
R3(config)# interface Ethernet0/2
R3(config-if)# ip nat inside
R3(config-if)# interface Ethernet0/0
R3(config-if)# ip nat outside
R3(config-if)# end"
61,"Configure an extended ACL on R2 to deny Telnet from 10.0.12.0/24 to 10.0.23.0/24, and apply it inbound on the interface connecting to R1.","R2# configure terminal
R2(config)# ip access-list extended DENY_TEL_R2
R2(config-ext-nacl)# deny tcp 10.0.12.0 0.0.0.255 10.0.23.0 0.0.0.255 eq 23
R2(config-ext-nacl)# permit ip any any
R2(config-ext-nacl)# interface Ethernet0/0
R2(config-if)# ip access-group DENY_TEL_R2 in
R2(config-if)# end"
62,Configure matching ACLs on R1 and R3 to permit only SSH traffic from the management network 10.0.12.0/24.,"R1# configure terminal
R1(config)# ip access-list extended PERMIT_SSH
R1(config-ext-nacl)# permit tcp 10.0.12.0 0.0.0.255 any eq 22
R1(config-ext-nacl)# deny ip any any
R1(config-ext-nacl)# end

R3# configure terminal
R3(config)# ip access-list extended PERMIT_SSH
R3(config-ext-nacl)# permit tcp 10.0.12.0 0.0.0.255 any eq 22
R3(config-ext-nacl)# deny ip any any
R3(config-ext-nacl)# end"
63,"Configure a static NAT entry on R1 translating 10.0.1.10 to 10.0.12.100, and a static NAT entry on R3 translating 10.0.2.10 to 10.0.23.100.","R1# configure terminal
R1(config)# ip nat inside source static 10.0.1.10 10.0.12.100
R1(config)# end

R3# configure terminal
R3(config)# ip nat inside source static 10.0.2.10 10.0.23.100
R3(config)# end"
64,"Configure an extended ACL on R4 to permit HTTP and HTTPS traffic from 10.0.14.0/24 to any, and apply it outbound on the interface connecting to R1.","R4# configure terminal
R4(config)# ip access-list extended PERMIT_WEB
R4(config-ext-nacl)# permit tcp 10.0.14.0 0.0.0.255 any eq 80
R4(config-ext-nacl)# permit tcp 10.0.14.0 0.0.0.255 any eq 443
R4(config-ext-nacl)# deny ip any any
R4(config-ext-nacl)# interface Ethernet0/0
R4(config-if)# ip access-group PERMIT_WEB out
R4(config-if)# end"
65,"Configure a standard ACL named PERMIT_LAN2 on R3 to permit traffic from 10.0.2.0/24, and apply it inbound on R3's interface connected to SW2. Remove any existing outbound ACL on that same interface.","R3# configure terminal
R3(config)# ip access-list standard PERMIT_LAN2
R3(config-std-nacl)# permit 10.0.2.0 0.0.0.255
R3(config-std-nacl)# exit
R3(config)# interface Ethernet0/2
R3(config-if)# ip access-group PERMIT_LAN2 in
R3(config-if)# no ip access-group PERMIT_LAN2 out
R3(config-if)# end"
66,"Enable SSH version 2 on R1 and R3, using domain name corp.net and RSA modulus 2048.","R1# configure terminal
R1(config)# ip domain-name corp.net
R1(config)# crypto key generate rsa modulus 2048
R1(config)# ip ssh version 2
R1(config)# end

R3# configure terminal
R3(config)# ip domain-name corp.net
R3(config)# crypto key generate rsa modulus 2048
R3(config)# ip ssh version 2
R3(config)# end"
67,Configure VTY lines on R2 and R4 to allow only SSH and require local authentication.,"R2# configure terminal
R2(config)# line vty 0 4
R2(config-line)# transport input ssh
R2(config-line)# login local
R2(config-line)# end

R4# configure terminal
R4(config)# line vty 0 4
R4(config-line)# transport input ssh
R4(config-line)# login local
R4(config-line)# end"
68,Disable CDP globally on R1 and R2.,"R1# configure terminal
R1(config)# no cdp run
R1(config)# end

R2# configure terminal
R2(config)# no cdp run
R2(config)# end"
69,Configure SNMP community string 'readonly' read-only on R3 and R4.,"R3# configure terminal
R3(config)# snmp-server community readonly ro
R3(config)# end

R4# configure terminal
R4(config)# snmp-server community readonly ro
R4(config)# end"
70,"Set enable secret passwords on all four routers: R1 uses pass1, R2 uses pass2, R3 uses pass3, R4 uses pass4.","R1# configure terminal
R1(config)# enable secret pass1
R1(config)# end

R2# configure terminal
R2(config)# enable secret pass2
R2(config)# end

R3# configure terminal
R3(config)# enable secret pass3
R3(config)# end

R4# configure terminal
R4(config)# enable secret pass4
R4(config)# end"
71,"Enable logging to syslog server 10.0.12.1 on R2, R3, and R4.","R2# configure terminal
R2(config)# logging 10.0.12.1
R2(config)# end

R3# configure terminal
R3(config)# logging 10.0.12.1
R3(config)# end

R4# configure terminal
R4(config)# logging 10.0.12.1
R4(config)# end"
72,"Configure NTP server 10.0.1.1 on R2, R3, and R4.","R2# configure terminal
R2(config)# ntp server 10.0.1.1
R2(config)# end

R3# configure terminal
R3(config)# ntp server 10.0.1.1
R3(config)# end

R4# configure terminal
R4(config)# ntp server 10.0.1.1
R4(config)# end"
73,Disable proxy ARP on all interfaces of R1 and R3.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# no ip proxy-arp
R1(config-if)# interface Ethernet0/1
R1(config-if)# no ip proxy-arp
R1(config-if)# interface Ethernet0/2
R1(config-if)# no ip proxy-arp
R1(config-if)# end

R3# configure terminal
R3(config)# interface Ethernet0/0
R3(config-if)# no ip proxy-arp
R3(config-if)# interface Ethernet0/1
R3(config-if)# no ip proxy-arp
R3(config-if)# interface Ethernet0/2
R3(config-if)# no ip proxy-arp
R3(config-if)# end"
74,Set the MTU to 1400 on both ends of the link between R2 and R3.,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# mtu 1400
R2(config-if)# end

R3# configure terminal
R3(config)# interface Ethernet0/0
R3(config-if)# mtu 1400
R3(config-if)# end"
75,Set the bandwidth to 2000 Kbps on both ends of the link between R1 and R4.,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# bandwidth 2000
R1(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/0
R4(config-if)# bandwidth 2000
R4(config-if)# end"
76,Assign descriptions to both ends of the link between R3 and R4.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# description Link to R4
R3(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/2
R4(config-if)# description Link to R3
R4(config-if)# end"
77,Shutdown the link between R2 and R4 on both ends.,"R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# shutdown
R2(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/1
R4(config-if)# shutdown
R4(config-if)# end"
78,Configure loopback 0 interfaces on R1 and R2 with addresses 11.11.11.11/32 and 22.22.22.22/32 respectively.,"R1# configure terminal
R1(config)# interface loopback 0
R1(config-if)# ip address 11.11.11.11 255.255.255.255
R1(config-if)# end

R2# configure terminal
R2(config)# interface loopback 0
R2(config-if)# ip address 22.22.22.22 255.255.255.255
R2(config-if)# end"
79,Configure SW1 and SW2 with STP mode rapid-PVST and set each as root bridge for their respective access VLANs.,"SW1# configure terminal
SW1(config)# spanning-tree mode rapid-pvst
SW1(config)# spanning-tree vlan 10 root primary
SW1(config)# end

SW2# configure terminal
SW2(config)# spanning-tree mode rapid-pvst
SW2(config)# spanning-tree vlan 30 root primary
SW2(config)# end"
80,"Configure trunk ports on SW1 and SW2 to allow only their respective VLANs, and set native VLAN to 10 on SW1 and 30 on SW2.","SW1# configure terminal
SW1(config)# interface Fa0/24
SW1(config-if)# switchport mode trunk
SW1(config-if)# switchport trunk allowed vlan 10,20
SW1(config-if)# switchport trunk native vlan 10
SW1(config-if)# end

SW2# configure terminal
SW2(config)# interface Fa0/24
SW2(config-if)# switchport mode trunk
SW2(config-if)# switchport trunk allowed vlan 30,40
SW2(config-if)# switchport trunk native vlan 30
SW2(config-if)# end"
81,"Configure SVIs on SW1 for VLAN 10 with IP 10.0.1.2/24 and on SW2 for VLAN 30 with IP 10.0.2.2/24, with their respective gateways.","SW1# configure terminal
SW1(config)# interface vlan 10
SW1(config-if)# ip address 10.0.1.2 255.255.255.0
SW1(config-if)# no shutdown
SW1(config-if)# ip default-gateway 10.0.1.1
SW1(config-if)# end

SW2# configure terminal
SW2(config)# interface vlan 30
SW2(config-if)# ip address 10.0.2.2 255.255.255.0
SW2(config-if)# no shutdown
SW2(config-if)# ip default-gateway 10.0.2.1
SW2(config-if)# end"
82,"Enable port security on both SW1 Fa0/1 and SW2 Fa0/1, allowing only 1 MAC address with violation mode shutdown.","SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# switchport port-security
SW1(config-if)# switchport port-security maximum 1
SW1(config-if)# switchport port-security violation shutdown
SW1(config-if)# end

SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# switchport port-security
SW2(config-if)# switchport port-security maximum 1
SW2(config-if)# switchport port-security violation shutdown
SW2(config-if)# end"
83,"Configure DHCP on R1 for 10.0.1.0/24 and on R3 for 10.0.2.0/24, excluding the first 10 addresses of each network.","R1# configure terminal
R1(config)# ip dhcp excluded-address 10.0.1.1 10.0.1.10
R1(config)# ip dhcp pool LAN1
R1(dhcp-config)# network 10.0.1.0 255.255.255.0
R1(dhcp-config)# default-router 10.0.1.1
R1(dhcp-config)# end

R3# configure terminal
R3(config)# ip dhcp excluded-address 10.0.2.1 10.0.2.10
R3(config)# ip dhcp pool LAN2
R3(dhcp-config)# network 10.0.2.0 255.255.255.0
R3(dhcp-config)# default-router 10.0.2.1
R3(dhcp-config)# end"
84,Configure PortFast on both SW1 Fa0/1 and SW2 Fa0/1.,"SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# spanning-tree portfast
SW1(config-if)# end

SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# spanning-tree portfast
SW2(config-if)# end"
85,Create VLAN 20 on SW1 and VLAN 40 on SW2.,"SW1# configure terminal
SW1(config)# vlan 20
SW1(config-vlan)# end

SW2# configure terminal
SW2(config)# vlan 40
SW2(config-vlan)# end"
86,Configure the R1-R2 link: assign IPs on both ends and enable the interfaces.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ip address 10.0.12.1 255.255.255.0
R1(config-if)# no shutdown
R1(config-if)# end

R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# ip address 10.0.12.2 255.255.255.0
R2(config-if)# no shutdown
R2(config-if)# end"
87,Configure the R2-R3 link: assign IPs on both ends and enable the interfaces.,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# ip address 10.0.23.1 255.255.255.0
R2(config-if)# no shutdown
R2(config-if)# end

R3# configure terminal
R3(config)# interface Ethernet0/0
R3(config-if)# ip address 10.0.23.2 255.255.255.0
R3(config-if)# no shutdown
R3(config-if)# end"
88,Configure the R1-R4 link and the R2-R4 link: assign IPs on both ends of each link and enable all interfaces.,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# ip address 10.0.14.1 255.255.255.0
R1(config-if)# no shutdown
R1(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/0
R4(config-if)# ip address 10.0.14.2 255.255.255.0
R4(config-if)# no shutdown
R4(config-if)# interface Ethernet0/1
R4(config-if)# ip address 10.0.24.2 255.255.255.0
R4(config-if)# no shutdown
R4(config-if)# end

R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# ip address 10.0.24.1 255.255.255.0
R2(config-if)# no shutdown
R2(config-if)# end"
89,"Configure hostnames and enable secrets on all routers: R1 as Router-R1 with secret sec1, R2 as Router-R2 with secret sec2, R3 as Router-R3 with secret sec3, R4 as Router-R4 with secret sec4.","R1# configure terminal
R1(config)# hostname Router-R1
R1(config)# enable secret sec1
R1(config)# end

R2# configure terminal
R2(config)# hostname Router-R2
R2(config)# enable secret sec2
R2(config)# end

R3# configure terminal
R3(config)# hostname Router-R3
R3(config)# enable secret sec3
R3(config)# end

R4# configure terminal
R4(config)# hostname Router-R4
R4(config)# enable secret sec4
R4(config)# end"
90,"Configure NTP on all routers to synchronize with server 10.0.1.1, and set the clock timezone to UTC.","R1# configure terminal
R1(config)# ntp server 10.0.1.1
R1(config)# clock timezone UTC 0
R1(config)# end

R2# configure terminal
R2(config)# ntp server 10.0.1.1
R2(config)# clock timezone UTC 0
R2(config)# end

R3# configure terminal
R3(config)# ntp server 10.0.1.1
R3(config)# clock timezone UTC 0
R3(config)# end

R4# configure terminal
R4(config)# ntp server 10.0.1.1
R4(config)# clock timezone UTC 0
R4(config)# end"
91,"Configure static ARP entries on R1 for h1 (10.0.1.10, MAC 0050.7966.6800) and on R3 for h2 (10.0.2.10, MAC 0050.7966.6801).","R1# configure terminal
R1(config)# arp 10.0.1.10 0050.7966.6800 arpa
R1(config)# end

R3# configure terminal
R3(config)# arp 10.0.2.10 0050.7966.6801 arpa
R3(config)# end"
92,Disable DHCP service on R2 and R4.,"R2# configure terminal
R2(config)# no service dhcp
R2(config)# end

R4# configure terminal
R4(config)# no service dhcp
R4(config)# end"
93,"Save the running configuration to startup configuration on R1, R2, R3, and R4.","R1# copy running-config startup-config

R2# copy running-config startup-config

R3# copy running-config startup-config

R4# copy running-config startup-config"
94,Configure OSPF MD5 authentication on both ends of the link between R1 and R2 using key-id 1 and password md5pass.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ip ospf authentication message-digest
R1(config-if)# ip ospf message-digest-key 1 md5 md5pass
R1(config-if)# end

R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# ip ospf authentication message-digest
R2(config-if)# ip ospf message-digest-key 1 md5 md5pass
R2(config-if)# end"
95,Configure storm control for broadcasts at 15% on SW1 Fa0/1 and SW2 Fa0/1.,"SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# storm-control broadcast level 15
SW1(config-if)# end

SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# storm-control broadcast level 15
SW2(config-if)# end"
96,Configure the ARP timeout to 120 seconds on R1's interface connected to SW1.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# arp timeout 120
R1(config-if)# end"
97,Configure OSPF process 1 on R2 and set all interfaces as passive except Ethernet0/0.,"R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# passive-interface default
R2(config-router)# no passive-interface Ethernet0/0
R2(config-router)# end"
98,Configure a static ARP entry on R4 for IP 10.0.14.1 with MAC address 0050.7966.6802.,"R4# configure terminal
R4(config)# arp 10.0.14.1 0050.7966.6802 arpa
R4(config)# end"
99,Set the logging buffer size to 16384 bytes on R3.,"R3# configure terminal
R3(config)# logging buffered 16384
R3(config)# end"
